,date,open,close,high,low,volume,code
1142,2014-07-15,32.403,32.052,32.455,31.794,86486.0,601888
1143,2014-07-16,32.073,32.434,32.558,31.97,51864.0,601888
1144,2014-07-17,32.393,32.434,32.568,32.238,22060.0,601888
1145,2014-07-18,32.341,32.217,32.362,32.073,39425.0,601888
1146,2014-07-21,32.217,31.774,32.228,31.639,31957.0,601888
1147,2014-07-22,31.681,31.98,32.104,31.609,29843.0,601888
1148,2014-07-23,31.99,31.433,32.197,31.072,39886.0,601888
1149,2014-07-24,31.433,31.351,31.763,31.247,39035.0,601888
1150,2014-07-25,31.454,32.021,32.052,31.258,47238.0,601888
1151,2014-07-28,32.021,33.229,33.404,32.021,94833.0,601888
1152,2014-07-29,33.27,33.92,34.219,33.208,95196.0,601888
1153,2014-07-30,33.91,34.715,35.189,33.848,92293.0,601888
1154,2014-07-31,34.725,34.839,34.89,34.333,31211.0,601888
1155,2014-08-01,34.839,34.56,35.169,34.519,44498.0,601888
1156,2014-08-04,34.488,35.561,35.602,34.446,64767.0,601888
